comparison,baseline_method,end_to_end_success_indirect_pact,end_to_end_success_indirect_baseline,end_to_end_success_indirect_diff,indirect_action_completion_pact,indirect_action_completion_baseline,indirect_action_completion_diff,false_trigger_rate_including_contract_swap_pact,false_trigger_rate_including_contract_swap_baseline,false_trigger_rate_including_contract_swap_diff,wrong_contract_false_trigger_rate_pact,wrong_contract_false_trigger_rate_baseline,wrong_contract_false_trigger_rate_diff,conflict_detection_accuracy_pact,conflict_detection_accuracy_baseline,conflict_detection_accuracy_diff,conflict_safe_action_accuracy_pact,conflict_safe_action_accuracy_baseline,conflict_safe_action_accuracy_diff,target_action_completion_rate_pact,target_action_completion_rate_baseline,target_action_completion_rate_diff,irrelevant_action_completion_rate_pact,irrelevant_action_completion_rate_baseline,irrelevant_action_completion_rate_diff
PACTFull_vs_strongest_ordinary,TfidfRawMemory,0.8712121212121212,0.03787878787878788,0.8333333333333334,0.8712121212121212,0.03787878787878788,0.8333333333333334,0.06153846153846154,0.03461538461538462,0.026923076923076925,0.23076923076923078,0.0,0.23076923076923078,0.5,0.0,0.5,0.875,0.2,0.675,0.8681818181818182,0.07727272727272727,0.7909090909090909,0.057971014492753624,0.018218623481781375,0.03975239101097225
PACTFull_vs_strongest_contract_aware,ContractCompilerOnly,0.8712121212121212,0.007575757575757576,0.8636363636363636,0.8712121212121212,0.007575757575757576,0.8636363636363636,0.06153846153846154,0.0038461538461538464,0.057692307692307696,0.23076923076923078,0.0,0.23076923076923078,0.5,0.0,0.5,0.875,0.125,0.75,0.8681818181818182,0.045454545454545456,0.8227272727272728,0.057971014492753624,0.00196078431372549,0.056010230179028134
PACTFull_vs_ContractCompilerOnly,ContractCompilerOnly,0.8712121212121212,0.007575757575757576,0.8636363636363636,0.8712121212121212,0.007575757575757576,0.8636363636363636,0.06153846153846154,0.0038461538461538464,0.057692307692307696,0.23076923076923078,0.0,0.23076923076923078,0.5,0.0,0.5,0.875,0.125,0.75,0.8681818181818182,0.045454545454545456,0.8227272727272728,0.057971014492753624,0.00196078431372549,0.056010230179028134
PACTFull_vs_PACT_no_checker,PACT_no_checker,0.8712121212121212,0.0,0.8712121212121212,0.8712121212121212,0.0,0.8712121212121212,0.06153846153846154,0.06153846153846154,0.0,0.23076923076923078,0.23076923076923078,0.0,0.5,0.5,0.0,0.875,0.475,0.4,0.8681818181818182,0.08636363636363636,0.7818181818181817,0.057971014492753624,0.057971014492753624,0.0
PACTFull_vs_PACT_no_guard,PACT_no_guard,0.8712121212121212,0.8939393939393939,-0.022727272727272707,0.8712121212121212,0.8939393939393939,-0.022727272727272707,0.06153846153846154,0.25,-0.18846153846153846,0.23076923076923078,0.34615384615384615,-0.11538461538461536,0.5,0.5,0.0,0.875,0.875,0.0,0.8681818181818182,0.8818181818181818,-0.013636363636363669,0.057971014492753624,0.23809523809523808,-0.18012422360248445
PACTFull_vs_PACT_raw_memory,PACT_raw_memory,0.8712121212121212,0.20454545454545456,0.6666666666666666,0.8712121212121212,0.20454545454545456,0.6666666666666666,0.06153846153846154,0.038461538461538464,0.023076923076923078,0.23076923076923078,0.1346153846153846,0.09615384615384617,0.5,0.5,0.0,0.875,0.6,0.275,0.8681818181818182,0.3,0.5681818181818181,0.057971014492753624,0.05995203836930456,-0.0019810238765509344
PACTFull_vs_ContractShufflePACT,ContractShufflePACT,0.8712121212121212,0.0,0.8712121212121212,0.8712121212121212,0.0,0.8712121212121212,0.06153846153846154,0.0,0.06153846153846154,0.23076923076923078,0.0,0.23076923076923078,0.5,0.5,0.0,0.875,0.0,0.875,0.8681818181818182,0.0,0.8681818181818182,0.057971014492753624,0.038461538461538464,0.01950947603121516
PACTFull_vs_QueryOnlyClassifier,QueryOnlyClassifier,0.8712121212121212,0.0,0.8712121212121212,0.8712121212121212,0.0,0.8712121212121212,0.06153846153846154,0.07307692307692308,-0.011538461538461539,0.23076923076923078,0.36538461538461536,-0.13461538461538458,0.5,0.5,0.0,0.875,0.0,0.875,0.8681818181818182,0.0,0.8681818181818182,0.057971014492753624,0.0,0.057971014492753624
