pool_size,method,correct_contract_selection_rate,wrong_contract_false_trigger_rate,indirect_success,strict_e2e,selection_confusion_by_family
1,PACT_R2_full,0.4807692307692308,0.0,0.3181818181818182,0.7019230769230769,"{""admissions_cs->cs_major_selectivity"": 3, ""benchmark_novelty->benchmark_contribution_role"": 4, ""code_security->flask_auth_security"": 16, ""current_facts->verify_current_facts"": 7, ""data_analysis_hygiene->analysis_hygiene"": 4, ""email_rewriting->plain_professional_email"": 6, ""food_safety->nut_safety"": 9, ""legal_policy_caution->legal_policy_uncertainty"": 18, ""medical_caution->health_uncertainty"": 12, ""research_ideation->research_prior_work"": 14, ""scheduling->schedule_conflict_check"": 15, ""travel_planning->entry_constraints"": 17}"
3,PACT_R2_full,0.47692307692307695,0.19230769230769232,0.3181818181818182,0.6730769230769231,"{""benchmark_novelty->legal_policy_uncertainty"": 6, ""code_security->flask_auth_security"": 17, ""current_facts->verify_current_facts"": 7, ""email_rewriting->plain_professional_email"": 6, ""food_safety->legal_policy_uncertainty"": 7, ""food_safety->nut_safety"": 9, ""legal_policy_caution->legal_policy_uncertainty"": 18, ""medical_caution->health_uncertainty"": 13, ""research_ideation->legal_policy_uncertainty"": 8, ""research_ideation->research_prior_work"": 14, ""scheduling->schedule_conflict_check"": 16, ""travel_planning->entry_constraints"": 17}"
6,PACT_R2_full,0.4653846153846154,0.46153846153846156,0.3181818181818182,0.625,"{""admissions_cs->legal_policy_uncertainty"": 8, ""benchmark_novelty->legal_policy_uncertainty"": 15, ""code_security->flask_auth_security"": 18, ""code_security->legal_policy_uncertainty"": 7, ""food_safety->legal_policy_uncertainty"": 12, ""food_safety->nut_safety"": 9, ""legal_policy_caution->legal_policy_uncertainty"": 23, ""medical_caution->health_uncertainty"": 12, ""research_ideation->legal_policy_uncertainty"": 15, ""research_ideation->research_prior_work"": 16, ""scheduling->schedule_conflict_check"": 16, ""travel_planning->entry_constraints"": 17}"
12,PACT_R2_full,0.45,0.9230769230769231,0.3181818181818182,0.5538461538461539,"{""admissions_cs->legal_policy_uncertainty"": 17, ""benchmark_novelty->legal_policy_uncertainty"": 18, ""code_security->flask_auth_security"": 19, ""code_security->legal_policy_uncertainty"": 15, ""email_rewriting->legal_policy_uncertainty"": 16, ""food_safety->legal_policy_uncertainty"": 26, ""legal_policy_caution->legal_policy_uncertainty"": 24, ""research_ideation->legal_policy_uncertainty"": 23, ""research_ideation->research_prior_work"": 17, ""scheduling->schedule_conflict_check"": 17, ""travel_planning->entry_constraints"": 21, ""travel_planning->legal_policy_uncertainty"": 19}"
