method,indirect_strict_success,wrong_contract_false_trigger_rate,conflict_detection_accuracy,conflict_safe_action_accuracy,target_action_completion_rate,strict_e2e,behavioral_e2e,fixed_vs_PACTFull_current,regressed_vs_PACTFull_current,fixed_vs_PACT_R2_full,regressed_vs_PACT_R2_full
PACTFull_current,0.8712121212121212,0.23076923076923078,0.5,0.875,0.8681818181818182,0.8826923076923077,0.9134615384615384,0,0,15,14
PACT_R2_full,0.8484848484848485,0.09615384615384616,0.6,0.825,0.8363636363636363,0.8807692307692307,0.9019230769230769,14,15,0,0
PACT_intent_plus_state,0.8484848484848485,0.09615384615384616,0.6,0.85,0.8545454545454545,0.8903846153846153,0.9134615384615384,14,10,5,0
PACT_intent_plus_state_checker,0.8484848484848485,0.09615384615384616,0.6,0.85,0.8545454545454545,0.8903846153846153,0.9134615384615384,14,10,5,0
PACT_intent_plus_state_family_compiler,0.9015151515151515,0.09615384615384616,0.6,0.925,0.9136363636363637,0.9115384615384615,0.9384615384615385,25,10,16,0
