contract_id,family,broadness,overactivation_rate,false_fire_count,average_score_on_gold,average_score_on_non_gold,specificity_ratio
legal_policy_uncertainty,legal_policy_caution,0.09554137632368548,0.004073319755600814,2,0.28205378630795136,0.059917505766702586,4.707368617882198
entry_constraints,travel_planning,0.00903699980246751,0.0021929824561403508,1,0.025699635259104174,-0.18717025622190372,-0.13730619264973074
schedule_conflict_check,scheduling,0.005567935928594202,0.004081632653061225,2,0.10274312696826188,-0.1902791976326258,-0.5399598497710149
research_prior_work,research_ideation,0.004256357889889182,0.002232142857142857,1,0.03145672059895321,-0.13753056724412352,-0.22872530252213663
plain_professional_email,email_rewriting,0.00326301524051273,0.0,0,-0.059036409293087226,-0.19681292940270537,0.29996204757610667
flask_auth_security,code_security,0.0032492848597748276,0.004464285714285714,2,-0.026548612765739207,-0.19467641180703726,0.13637303317493915
nut_safety,food_safety,0.0022343750000000002,0.0,0,-0.07879926735972023,-0.16566626514710434,0.4756506539804586
benchmark_contribution_role,benchmark_novelty,0.0016431471024404636,0.0,0,-0.05004103814439869,-0.19855110120217134,0.25203102798933985
health_uncertainty,medical_caution,0.0016097106786711335,0.0,0,0.013536500222161891,-0.16885384765138858,-0.08016696338545397
verify_current_facts,current_facts,0.0012631578947368423,0.0,0,-0.03776531319770219,-0.2025999278304681,0.18640338919223856
cs_major_selectivity,admissions_cs,0.0012558139534883724,0.0,0,-0.05086384463703763,-0.2016619433753812,0.25222331881607296
analysis_hygiene,data_analysis_hygiene,0.0012558139534883724,0.0,0,-0.06914983430621163,-0.20265100662346663,0.34122620685864485
