null_margin,contract_margin,broadness_alpha,selection_threshold,null_prior,intent_prior_weight,use_pairwise,objective,constraints_pass,multi_contract_strict_e2e_dev,end_to_end_success_strict,indirect_end_to_end_success_strict,naturalistic_success,wrong_contract_false_trigger_rate,false_trigger_rate_including_contract_swap,target_action_completion_rate,conflict_safe_action_accuracy
0.0,0.0,0.0,0.15,0.0,0.5,False,1.6997668534780754,False,0.6918604651162791,0.7383720930232558,0.39215686274509803,0.9166666666666666,0.0,0.021505376344086023,0.43661971830985913,0.75
0.0,0.0,0.0,0.15,0.0,0.5,True,1.282178081285027,False,0.5813953488372093,0.6511627906976745,0.39215686274509803,0.75,0.0,0.1827956989247312,0.4225352112676056,0.625
0.0,0.0,0.0,0.15,0.0,1.0,False,1.301667328596855,False,0.5813953488372093,0.627906976744186,0.39215686274509803,0.75,0.0,0.22580645161290322,0.43661971830985913,0.75
0.0,0.0,0.0,0.15,0.0,1.0,True,1.00867220481591,False,0.4476744186046512,0.5755813953488372,0.39215686274509803,0.75,0.0,0.3225806451612903,0.4225352112676056,0.625
0.0,0.0,0.0,0.15,0.1,0.5,False,1.7105195416501184,False,0.6918604651162791,0.7441860465116279,0.39215686274509803,0.9166666666666666,0.0,0.010752688172043012,0.43661971830985913,0.75
0.0,0.0,0.0,0.15,0.1,0.5,True,1.4640360457761499,False,0.6046511627906976,0.6918604651162791,0.39215686274509803,0.9166666666666666,0.0,0.10752688172043011,0.4225352112676056,0.625
0.0,0.0,0.0,0.15,0.1,1.0,False,1.5265360457761499,False,0.6046511627906976,0.6918604651162791,0.39215686274509803,0.9166666666666666,0.0,0.10752688172043011,0.43661971830985913,0.75
0.0,0.0,0.0,0.15,0.1,1.0,True,1.2490447979641968,False,0.5697674418604651,0.6395348837209303,0.39215686274509803,0.75,0.0,0.20430107526881722,0.4225352112676056,0.625
0.0,0.0,0.0,0.25,0.0,0.5,False,1.4682144800906107,False,0.6627906976744186,0.6802325581395349,0.21568627450980393,0.9166666666666666,0.0,0.010752688172043012,0.2535211267605634,0.5
0.0,0.0,0.0,0.25,0.0,0.5,True,1.3920621699542535,False,0.6337209302325582,0.6686046511627907,0.3137254901960784,0.75,0.0,0.08602150537634409,0.3380281690140845,0.625
