method,n_items,false_evidence_promotion_rate,downstream_contamination_rate,contamination_delta_vs_no_memory,trap_task_accuracy,trap_accuracy_delta_vs_no_memory,verified_control_accuracy,useful_memory_retention,retention_delta_vs_no_memory,mixed_rate,mixed_rejected_rate,mixed_endorsed_rate,uncertain_rate,coding_contamination_rate,data_analysis_contamination_rate,research_assistant_contamination_rate,confirmed_hypothesis_promotion_rate,tentative_overblocking_rate
no_memory,80,0.0,0.3,0.0,0.7,0.0,0.5875,0.5875,0.0,0.6125,0.3125,0.3,0.0,0.0,0.9231,0.0,0.0,1.0
naive,80,0.7375,0.3,0.0,0.7,0.0,0.95,0.95,0.3625,0.8,0.5,0.3,0.0,0.2903,0.4231,0.1739,0.6111,0.3889
source_aware,80,0.15,0.325,0.025,0.675,-0.025,0.9625,0.9625,0.375,0.7,0.375,0.325,0.0,0.2581,0.6923,0.0,0.7778,0.2222
quote_required,80,0.05,0.375,0.075,0.625,-0.075,0.9875,0.9875,0.4,0.75,0.375,0.375,0.0,0.2581,0.6923,0.1739,0.5556,0.4444
evidence_labeled_no_enforcement,80,0.0,0.475,0.175,0.525,-0.175,0.9875,0.9875,0.4,0.725,0.25,0.475,0.0,0.3226,1.0,0.087,0.0,1.0
evidence_labeled_stable_only,80,0.0,0.325,0.025,0.675,-0.025,1.0,1.0,0.4125,0.625,0.3,0.325,0.0,0.0323,0.9231,0.0435,0.0,1.0
evidence_labeled_enforced,80,0.0,0.475,0.175,0.525,-0.175,0.925,0.925,0.3375,0.7875,0.3125,0.475,0.0,0.4516,0.9231,0.0,0.0,1.0
current_evidence_self_check,80,0.675,0.275,-0.025,0.725,0.025,0.95,0.95,0.3625,0.775,0.5,0.275,0.0,0.2581,0.2308,0.3478,0.6111,0.3889
quote_required_plus_self_check,80,0.05,0.325,0.025,0.675,-0.025,0.9375,0.9375,0.35,0.825,0.5,0.325,0.0,0.3871,0.4231,0.1304,0.5556,0.4444
